DESTPORT;PROTOCOL;SERVICE;SERVICE
2710;TCP;Cloudflare;10
2710;UDP;Unknown;8
2722;UDP;BitTorrent;1
2725;UDP;BitTorrent;3
2756;UDP;BitTorrent;1
2801;UDP;BitTorrent;1
2851;UDP;STUN;1
2859;UDP;STUN;1
2869;TCP;Unknown;13
2879;TCP;RDP;1
2891;UDP;BitTorrent;1
2896;TCP;RDP;1
2947;TCP;RDP;1
2956;UDP;Signal;1
3000;TCP;HTTP;4
3000;TCP;Unknown;4
3010;UDP;STUN;1
3013;TCP;Unknown;21
3019;UDP;BitTorrent;1
3025;TCP;Unknown;1
3025;UDP;BitTorrent;1
3033;UDP;STUN;1
3040;TCP;RDP;1
3063;UDP;BitTorrent;1
3071;TCP;RDP;1
3075;TCP;RDP;1
3089;TCP;RDP;1
3090;UDP;BitTorrent;2
3101;TCP;Amazon;2
3113;TCP;RDP;1
3128;TCP;104;1
3128;TCP;Amazon;24
3128;TCP;AmazonVideo;26
3128;TCP;Apple;20
3128;TCP;AppleiCloud;3
3128;TCP;AppleiTunes;7
3128;TCP;Dropbox;387
3128;TCP;FTP_DATA;1
3128;TCP;Facebook;520
3128;TCP;GMail;779
3128;TCP;Github;4
3128;TCP;Google;12085
3128;TCP;GoogleDocs;56
3128;TCP;GoogleDrive;164
3128;TCP;GoogleMaps;23
3128;TCP;GooglePlus;3
3128;TCP;GoogleServices;1657
3128;TCP;H323;1
3128;TCP;HTTP;14853
3128;TCP;HTTP_Proxy;11819
3128;TCP;Instagram;13
3128;TCP;LinkedIn;92
3128;TCP;MSN;278
3128;TCP;Microsoft;2290
3128;TCP;NFS;1
3128;TCP;NetFlix;23
3128;TCP;Office365;637
3128;TCP;PlayStore;8
3128;TCP;Skype;145
3128;TCP;TLS;358
3128;TCP;Twitter;111
3128;TCP;WhatsApp;189
3128;TCP;Wikipedia;10
3128;TCP;WindowsUpdate;41
3128;TCP;Xbox;10
3128;TCP;Yahoo;93
3128;TCP;YouTube;4159
3172;TCP;RDP;1
3181;TCP;RDP;1
3289;UDP;Unknown;41
3311;TCP;Unknown;1
3311;UDP;BitTorrent;1
3320;TCP;RDP;1
3366;UDP;STUN;1
3393;UDP;BitTorrent;1
3434;UDP;Signal;1
3456;UDP;BitTorrent;1
3478;TCP;Playstation;11
3478;UDP;Amazon;173
3478;UDP;GoogleHangoutDuo;43
3478;UDP;STUN;100
3478;UDP;Signal;729
3478;UDP;SkypeCall;2
3478;UDP;Unknown;549
3478;UDP;WhatsAppCall;86
3479;UDP;STUN;8
3509;TCP;RDP;1
3512;UDP;BitTorrent;1
3544;UDP;GoogleHangoutDuo;4
3544;UDP;Signal;8
3544;UDP;Teredo;592
3545;TCP;RDP;1
3580;TCP;RDP;1
3583;UDP;BitTorrent;3
3660;UDP;STUN;1
3691;TCP;RDP;1
3694;TCP;RDP;1
3700;TCP;Google;1
3702;UDP;Unknown;11
3722;TCP;Unknown;1
3722;UDP;Unknown;1
3723;UDP;BitTorrent;1
3779;UDP;BitTorrent;1
3786;TCP;RDP;1
3800;TCP;Unknown;3
3800;UDP;BitTorrent;1
3819;TCP;RDP;1
3869;UDP;STUN;1
3889;TCP;Unknown;1
3889;UDP;BitTorrent;1
3892;UDP;BitTorrent;2
3896;UDP;BitTorrent;1
3912;UDP;BitTorrent;2
3922;UDP;BitTorrent;1
3926;TCP;RDP;1
3927;TCP;RDP;1
3967;UDP;Signal;1
3968;TCP;RDP;1
3980;UDP;BitTorrent;1
3993;UDP;BitTorrent;1
4001;UDP;BitTorrent;1
4017;TCP;Amazon;4
4070;TCP;Google;23
4070;TCP;Spotify;13
4091;TCP;RDP;1
4094;UDP;STUN;1
4146;TCP;RDP;1
4181;UDP;BitTorrent;1
4201;TCP;TLS;1
4201;TCP;Unknown;1
4215;TCP;RDP;1
4215;UDP;BitTorrent;1
4235;UDP;BitTorrent;2
4237;TCP;Unknown;1
4237;UDP;BitTorrent;1
4242;UDP;STUN;1
4246;TCP;Unknown;1
4246;UDP;BitTorrent;1
4251;TCP;RDP;1
4286;UDP;BitTorrent;1
4291;UDP;Signal;1
4305;TCP;RDP;1
4310;UDP;STUN;1
4365;UDP;BitTorrent;1
4373;TCP;RDP;1
4375;UDP;BitTorrent;1
4433;TCP;TLS;1
4433;TCP;Unknown;1
4445;UDP;BitTorrent;3
4447;TCP;Unknown;425
4448;TCP;Unknown;48
4459;UDP;STUN;1
4487;UDP;Signal;1
4500;UDP;IPsec;19
4525;UDP;BitTorrent;1
4535;UDP;BitTorrent;1
4560;TCP;RDP;1
4569;UDP;IAX;3
4600;TCP;Unknown;3
4600;UDP;BitTorrent;1
4610;TCP;Unknown;3
4610;UDP;Unknown;1
4625;UDP;Signal;1
4630;TCP;Unknown;1
4630;UDP;Unknown;1
4645;TCP;RDP;1
4652;UDP;BitTorrent;1
4660;TCP;RDP;1
4663;TCP;BitTorrent;1
4663;TCP;Unknown;3
4663;UDP;BitTorrent;1
4743;UDP;STUN;1
4786;UDP;BitTorrent;1
4848;TCP;Unknown;8
4865;UDP;BitTorrent;5
4872;UDP;Signal;1
4888;UDP;BitTorrent;1
